savename=shared_randomized_descriptions_2xbudget; dataset=imagenetv2; mode=shared_random_descriptions; randomization_budget=2; reps=7; model_size=ViT-L/14,69.73571351596287,0.06863093627449196,69.85999941825867,69.66999769210815,91.09857167516437,0.06998497210242435,91.20000004768372,90.9600019454956
savename=shared_randomized_descriptions_2xbudget; dataset=imagenet; mode=shared_random_descriptions; randomization_budget=2; reps=7; model_size=ViT-L/14,75.40285757609776,0.0424382836474949,75.45199990272522,75.33599734306335,94.7057136467525,0.035090508229587765,94.75799798965454,94.64799761772156
savename=shared_randomized_descriptions_2xbudget; dataset=cub; mode=shared_random_descriptions; randomization_budget=2; reps=7; model_size=ViT-L/14,64.43611638886588,0.22405893656667594,64.72212672233582,64.11805152893066,92.71660361971173,0.08147523198561127,92.87193417549133,92.63030886650085
savename=shared_randomized_descriptions_2xbudget; dataset=eurosat; mode=shared_random_descriptions; randomization_budget=2; reps=7; model_size=ViT-L/14,61.11798882484436,1.3650536217643234,63.48888874053955,59.211111068725586,95.72963033403668,0.5220108892019677,96.27037048339844,94.59999799728394
savename=shared_randomized_descriptions_2xbudget; dataset=places365; mode=shared_random_descriptions; randomization_budget=2; reps=7; model_size=ViT-L/14,42.70684889384678,0.13923736982189605,42.92328655719757,42.50411093235016,71.25870926039559,0.20676645356219153,71.60547971725464,70.98904252052307
savename=shared_randomized_descriptions_2xbudget; dataset=food101; mode=shared_random_descriptions; randomization_budget=2; reps=7; model_size=ViT-L/14,93.5502120426723,0.1019395260934475,93.66732835769653,93.3940589427948,99.3674669946943,0.01551569365895318,99.39405918121338,99.3425726890564
savename=shared_randomized_descriptions_2xbudget; dataset=pets; mode=shared_random_descriptions; randomization_budget=2; reps=7; model_size=ViT-L/14,93.90647496495929,0.09757317152908972,94.00381445884705,93.70400905609131,99.84036258288792,0.022705063662467308,99.86372590065002,99.80921149253845
savename=shared_randomized_descriptions_2xbudget; dataset=dtd; mode=shared_random_descriptions; randomization_budget=2; reps=7; model_size=ViT-L/14,55.934650557381765,0.511663571622459,56.54255151748657,55.053192377090454,81.85410329273769,0.6264263876648826,82.7659547328949,80.79787492752075
savename=shared_randomized_descriptions_2xbudget; dataset=imagenetv2; mode=shared_random_descriptions; randomization_budget=2; reps=7; model_size=ViT-B/32,55.894285440444946,0.09574555914886847,56.08999729156494,55.79000115394592,83.01142879894802,0.1843466711504312,83.24999809265137,82.74999856948853
savename=shared_randomized_descriptions_2xbudget; dataset=imagenet; mode=shared_random_descriptions; randomization_budget=2; reps=7; model_size=ViT-B/32,63.24457100459507,0.1284841202745313,63.47399950027466,63.029998540878296,88.60599994659424,0.07786419267826487,88.73000144958496,88.49200010299683
savename=shared_randomized_descriptions_2xbudget; dataset=cub; mode=shared_random_descriptions; randomization_budget=2; reps=7; model_size=ViT-B/32,53.153508050101145,0.12332844441785817,53.29651236534119,52.916812896728516,84.59736789975848,0.0940174722446966,84.70832109451294,84.4149112701416
savename=shared_randomized_descriptions_2xbudget; dataset=eurosat; mode=shared_random_descriptions; randomization_budget=2; reps=7; model_size=ViT-B/32,42.86825401442392,1.7596833975926542,45.38888931274414,40.21851718425751,90.03015756607056,1.3853159024938138,92.27036833763123,88.09999823570251
savename=shared_randomized_descriptions_2xbudget; dataset=places365; mode=shared_random_descriptions; randomization_budget=2; reps=7; model_size=ViT-B/32,41.006262387548176,0.17395351165038445,41.20821952819824,40.72602689266205,71.74207483019147,0.18791549932836737,72.02191948890686,71.4301347732544
savename=shared_randomized_descriptions_2xbudget; dataset=food101; mode=shared_random_descriptions; randomization_budget=2; reps=7; model_size=ViT-B/32,84.28514855248588,0.1816853371673433,84.66534614562988,84.0039610862732,97.31485077313015,0.08165871877627029,97.4970281124115,97.20792174339294
savename=shared_randomized_descriptions_2xbudget; dataset=pets; mode=shared_random_descriptions; randomization_budget=2; reps=7; model_size=ViT-B/32,86.67211788041251,0.24464953226084324,87.1082067489624,86.3995611667633,98.35299594061715,0.22889673689874176,98.74625205993652,97.98310399055481
savename=shared_randomized_descriptions_2xbudget; dataset=dtd; mode=shared_random_descriptions; randomization_budget=2; reps=7; model_size=ViT-B/32,43.54103292737688,0.4282373232297292,44.308510422706604,42.925530672073364,74.73404237202236,0.6190095953085132,75.58510899543762,73.72340559959412
savename=shared_randomized_descriptions_2xbudget; dataset=imagenetv2; mode=shared_random_descriptions; randomization_budget=2; reps=7; model_size=RN50,53.034285988126484,0.07925811613541679,53.140002489089966,52.85999774932861,80.81857136317662,0.15985952672861753,81.13999962806702,80.65000176429749
savename=shared_randomized_descriptions_2xbudget; dataset=imagenet; mode=shared_random_descriptions; randomization_budget=2; reps=7; model_size=RN50,60.176857880183626,0.14002854240613183,60.40400266647339,59.94600057601929,86.28800085612706,0.07763663663818521,86.43800020217896,86.16600036621094
savename=shared_randomized_descriptions_2xbudget; dataset=cub; mode=shared_random_descriptions; randomization_budget=2; reps=7; model_size=RN50,48.31599167415074,0.16982202016870754,48.63651990890503,48.0842262506485,82.37339173044477,0.13102575615557935,82.51639604568481,82.13669061660767
savename=shared_randomized_descriptions_2xbudget; dataset=eurosat; mode=shared_random_descriptions; randomization_budget=2; reps=7; model_size=RN50,34.53386255673,0.7789515970885973,36.259257793426514,33.82962942123413,77.8280428477696,0.46925127624054314,78.60741019248962,77.08888649940491
savename=shared_randomized_descriptions_2xbudget; dataset=places365; mode=shared_random_descriptions; randomization_budget=2; reps=7; model_size=RN50,39.33033304555075,0.14710800749328634,39.55342471599579,39.11232948303223,70.40782826287406,0.19032937159151964,70.58356404304504,70.02739906311035
savename=shared_randomized_descriptions_2xbudget; dataset=food101; mode=shared_random_descriptions; randomization_budget=2; reps=7; model_size=RN50,80.4639322417123,0.25242445053444706,80.9544563293457,80.24554252624512,96.51032515934536,0.08641648517832005,96.68514728546143,96.4237630367279
savename=shared_randomized_descriptions_2xbudget; dataset=pets; mode=shared_random_descriptions; randomization_budget=2; reps=7; model_size=RN50,85.56243521826607,0.2475437575897179,85.88171005249023,85.11856198310852,99.06942418643406,0.2520951528577266,99.40038323402405,98.69174361228943
savename=shared_randomized_descriptions_2xbudget; dataset=dtd; mode=shared_random_descriptions; randomization_budget=2; reps=7; model_size=RN50,40.37234059401921,0.35397608846805595,40.95744788646698,40.00000059604645,71.43616931779044,0.8299035291566839,72.34042286872864,69.84042525291443
